run_name,task_id,framework,branch_family,comparability_class,mae,mse,r2,runtime_sec,artifact_dir,source
a30runall__bayesflow_native_meanstd_v100_20260425,a30runall__bayesflow_native_meanstd_v100_20260425,bayesflow_native,bayesflow,assumption_conditioned_aligned_multicurrent_a30,595.6303100585938,3153378.0,0.10643699020147324,119.44234323501587,runs/phaseLIT_aligned_runall/bayesflow_native_meanstd_v100_20260425,runs/phaseLIT_aligned_runall/bayesflow_native_meanstd_v100_20260425/metrics_summary.json
a30runall__bayesflow_native_structured_currfusion_v100_20260425,a30runall__bayesflow_native_structured_currfusion_v100_20260425,bayesflow_native_structured,bayesflow,assumption_conditioned_aligned_multicurrent_a30,596.1395874023438,3177780.0,0.10375472158193588,,runs/phaseLIT_aligned_runall/bayesflow_native_structured_currfusion_v100_20260425,runs/phaseLIT_aligned_runall/bayesflow_native_structured_currfusion_v100_20260425/metrics_summary.json
a30runall__swyft_native_aligned_currents_pool_v100_20260425,a30runall__swyft_native_aligned_currents_pool_v100_20260425,swyft_native,swyft,assumption_conditioned_aligned_multicurrent_a30,596.6282958984375,3159404.25,0.08893833309412003,185.50116086006165,runs/phaseLIT_aligned_runall/swyft_native_aligned_currents_pool_v100_20260425,runs/phaseLIT_aligned_runall/swyft_native_aligned_currents_pool_v100_20260425/metrics_summary.json
a30runall__bayesflow_native_structured_currfusion_deltas_v100_20260425,a30runall__bayesflow_native_structured_currfusion_deltas_v100_20260425,bayesflow_native_structured,bayesflow,assumption_conditioned_aligned_multicurrent_a30,597.6389770507812,3125917.75,0.11202173680067062,,runs/phaseLIT_aligned_runall/bayesflow_native_structured_currfusion_deltas_v100_20260425,runs/phaseLIT_aligned_runall/bayesflow_native_structured_currfusion_deltas_v100_20260425/metrics_summary.json
a30runall__bayesflow_set_posterior_v100_20260426,a30runall__bayesflow_set_posterior_v100_20260426,bayesflow_set_posterior,bayesflow,assumption_conditioned_aligned_multicurrent_a30,600.2474975585938,3149946.0,0.07350650429725647,,runs/phaseLIT_aligned_runall/bayesflow_set_posterior_v100_20260426,runs/phaseLIT_aligned_runall/bayesflow_set_posterior_v100_20260426/metrics_summary.json
a30runall__bayesflow_temporal_v100_20260426,a30runall__bayesflow_temporal_v100_20260426,bayesflow_temporal,bayesflow,assumption_conditioned_aligned_multicurrent_a30,603.10693359375,3151324.25,0.07056420296430588,,runs/phaseLIT_aligned_runall/bayesflow_temporal_v100_20260426,runs/phaseLIT_aligned_runall/bayesflow_temporal_v100_20260426/metrics_summary.json
a30runall__bayesflow_temporal_transformer_v100_20260426,a30runall__bayesflow_temporal_transformer_v100_20260426,bayesflow_temporal,bayesflow,assumption_conditioned_aligned_multicurrent_a30,604.3309326171875,3218168.75,0.09512829780578613,,runs/phaseLIT_aligned_runall/bayesflow_temporal_transformer_v100_20260426,runs/phaseLIT_aligned_runall/bayesflow_temporal_transformer_v100_20260426/metrics_summary.json
a30runall__swyft_tmnre_structured_stage1_v100_20260425,a30runall__swyft_tmnre_structured_stage1_v100_20260425,swyft_tmnre_style_native,tmnre,assumption_conditioned_aligned_multicurrent_a30,606.8368530273438,3195115.25,0.08277013897895813,123.54337430000305,runs/phaseLIT_aligned_runall/swyft_tmnre_structured_stage1_v100_20260425,runs/phaseLIT_aligned_runall/swyft_tmnre_structured_stage1_v100_20260425/metrics_summary.json
a30runall__bayesflow_fusion_transformer_v100_20260426,a30runall__bayesflow_fusion_transformer_v100_20260426,bayesflow_temporal,bayesflow,assumption_conditioned_aligned_multicurrent_a30,623.6353759765625,3267181.25,0.0708823874592781,,runs/phaseLIT_aligned_runall/bayesflow_fusion_transformer_v100_20260426,runs/phaseLIT_aligned_runall/bayesflow_fusion_transformer_v100_20260426/metrics_summary.json
a30runall__temporal_cnn_aligned_v100_20260426,a30runall__temporal_cnn_aligned_v100_20260426,temporal_cnn_aligned,temporal_deterministic,assumption_conditioned_aligned_multicurrent_a30,708.4140625,3786811.0,0.21501328000417907,7.702721834182739,runs/phaseLIT_aligned_runall/temporal_cnn_aligned_v100_20260426,runs/phaseLIT_aligned_runall/temporal_cnn_aligned_v100_20260426/metrics_summary.json
a30runall__bayesflow_native_v100_20260425,a30runall__bayesflow_native_v100_20260425,bayesflow_native,bayesflow,assumption_conditioned_aligned_multicurrent_a30,734.2991333007812,3528956.25,-0.044214338064193726,126.48087120056152,runs/phaseLIT_aligned_runall/bayesflow_native_v100_20260425,runs/phaseLIT_aligned_runall/bayesflow_native_v100_20260425/metrics_summary.json
a30runall__swyft_tmnre_native_v100_20260425,a30runall__swyft_tmnre_native_v100_20260425,swyft_tmnre_style_native,tmnre,assumption_conditioned_aligned_multicurrent_a30,873.0553588867188,5301641.5,-0.2581421136856079,302.1121344566345,runs/phaseLIT_aligned_runall/swyft_tmnre_native_v100_20260425,runs/phaseLIT_aligned_runall/swyft_tmnre_native_v100_20260425/metrics_summary.json
